Data_Publicacao,Portal,Casa,Noticia,Resumo,Rotulo_Especialista,Evidencia,Sentimento_Rotulo,Concorda,AUDITORIA_correto?,AUDITORIA_rotulo_certo,URL
2020-06-15,MoneyTimes,santander,"Ação da Petrobras terá recuperação em forma de “J”, avalia Santander","Os papéis da Petrobras (PETR3; PETR4) terão recuperação acentuada, em formato de “J”, após a Covid-19, avalia o Santander em relatório enviado a clientes nesta segunda-feira (15). O banco tem recomendação de compra para as ações ordinárias, PETR3, com preço-alvo de R$ 24. A corretora realizou uma conferência com o CEO da Petrobras, Roberto Castello Branco, […]",Positive,recomendação de compra,Positive,True,,,https://www.moneytimes.com.br/acao-da-petrobras-tera-recuperacao-em-forma-de-j-avalia-santander/
2020-11-24,MoneyTimes,bank of america,BofA vê “céu mais claro” para Petrobras e eleva recomendação para ‘compra’,"O Bank of America elevou a recomendação das ações da Petrobras (PETR3;PETR4) para ‘compra’, bem como o preço-alvo para 38 reais no caso dos papéis negociados na B3 (de 28 reais antes) e 14 dólares para os ADRs transacionados em Nova York (de 10,50 dólares antes), conforme relatório a clientes. “A melhora no mercado de petróleo […]",Positive,eleva recomendaç,Positive,True,,,https://www.moneytimes.com.br/bofa-ve-ceu-mais-claro-para-petrobras-e-eleva-recomendacao-para-compra/
2020-11-30,MoneyTimes,analistas,"Petrobras deverá ter grandes dividendos pela frente, aponta Ágora","A Ágora Investimentos elevou as projeções de pagamento de dividendos da Petrobras (PETR3;PETR4) após participar do Dia do Investidor da empresa. Segundo os analistas Vicente Falanga e Ricardo França, o dividend yield da petroleira deverá passar de 10% até 2022, “o que está muito acima da média paga por seus pares globais”. “Embora as previsões […]",Positive,elevou as projeç,Neutral,False,,,https://www.moneytimes.com.br/petrobras-devera-ter-grandes-dividendos-pela-frente-aponta-agora/
2020-12-01,MoneyTimes,btg,Petrobras: dividendos são animadores e BTG eleva preço-alvo,"O banco de investimento BTG Pactual (BPAC11) elevou nesta terça-feira o preço-alvo para as ações da Petrobras (PETR3;PETR4), após detalhamento na véspera do plano de negócios de cinco anos da empresa, que reforçou aposta em ativos de classe mundial e de baixo custo como o pré-sal e aumentou o programa de desinvestimentos. O preço-alvo do American Depositary Receipts […]",Positive,eleva preço-alvo,Positive,True,,,https://www.moneytimes.com.br/petrobras-dividendos-sao-animadores-e-btg-eleva-preco-alvo/
2020-12-02,MoneyTimes,bb investimentos,"Plano estratégico reforça que Petrobras está no caminho certo, diz BB","O plano estratégico da Petrobras (PETR3;PETR4) para 2021 a 2025 reforçou a visão positiva do BB Investimentos em relação ao futuro da maior companhia do Brasil. O evento, que contou com a participação do CEO, Roberto Castello Branco, e demais membros da diretoria executiva, reiterou a ideia de que a empresa segue com o seu […]",Positive,são positiv,Neutral,False,,,https://www.moneytimes.com.br/plano-estrategico-reforca-que-petrobras-esta-no-caminho-certo-diz-bb/
2021-01-05,MoneyTimes,xp,XP eleva preço-alvo da Petrobras após acordo da Opep+,"A XP classificou como positivo o acordo fechado entre os membros da Opep+ para o corte da produção de petróleo. Os preços do Brent dispararam 4,99%, a US$ 53,64 o barril, após a notícia. Com o acordo, a Arábia Saudita carregará o maior fardo dos cortes na produção, enquanto outros países não farão mudanças ou […]",Positive,eleva preço-alvo,Positive,True,,,https://www.moneytimes.com.br/xp-eleva-preco-alvo-da-petrobras-apos-acordo-da-opep/
2021-01-19,MoneyTimes,credit suisse,Credit Suisse eleva preço-alvo de ADR da Petrobras com expectativa de alta do petróleo,"Analistas do Credit Suisse elevaram o preço-alvo dos ADRs da Petrobras (PETR3; PETR4) para 16 dólares, de 15 dólares antes, e reiteraram recomendação ‘outperform’, citando previsões melhores para os preços do petróleo Brent, de acordo com relatório a clientes nesta terça-feira. “O Sr. Brent é um homem temperamental (figurativamente falando). Os preços do petróleo oscilam frequentemente entre […]",Positive,eleva preço-alvo,Positive,True,,,https://www.moneytimes.com.br/credit-suisse-eleva-preco-alvo-de-adr-da-petrobras-com-expectativa-de-alta-do-petroleo/
2021-02-03,InfoMoney,santander,"Produção da Petrobras, BBI eleva preço-alvo para Méliuz e vê potencial de alta de 46%, balanço do Santander e mais",Confira os destaques do noticiário corporativo na sessão desta quarta-feira (3),Positive,eleva preço-alvo,Positive,True,,,https://www.infomoney.com.br/mercados/producao-da-petrobras-bbi-eleva-preco-alvo-para-meliuz-e-ve-potencial-de-alta-de-46-balanco-do-santander-e-mais/
2021-02-22,MoneyTimes,analistas,Petrobras vê analistas cortarem recomendação para ações após Bolsonaro indicar CEO,"Analistas de mercado rebaixaram suas recomendações para as ações da estatal  Petrobras (PETR4) nos últimos dias, após o presidente Jair Bolsonaro ter anunciado na sexta-feira a indicação de um novo presidente-executivo para a companhia. Bolsonaro disse que pretende nomear o general Joaquim Silva e Luna como novo CEO da Petrobras ao final do mandato do atual […]",Negative,cortarem recomendaç,Negative,True,,,https://www.moneytimes.com.br/petrobras-ve-analistas-cortarem-recomendacao-para-acoes-apos-bolsonaro-indicar-ceo/
2021-02-22,MoneyTimes,ubs,"UBS recomenda compra das ações da Petrobras, já que estratégia não mudou","Enquanto grande parte do mercado reage à mudança de comando na Petrobras (PETR3; PETR4) orquestrada pelo presidente Jair Bolsonaro, há quem ainda mantenha recomendação de compra das ações da estatal à medida que a estratégia de longo prazo da empresa parece conservada. “Apesar da influência do governo federal, a questão-chave está fincada na estratégia de […]",Positive,recomenda compra,Neutral,False,,,https://www.moneytimes.com.br/ubs-recomenda-compra-das-acoes-da-petrobras-ja-que-estrategia-nao-mudou/
2021-02-22,InfoMoney,xp investimentos,Os bancos e casas de análise que cortaram a recomendação para a Petrobras (e os que seguem indicando compra),"XP Investimentos, Credit Suisse e Bradesco BB cortaram fortemente a recomendação e o preço-alvo, enquanto o Morgan suspendeu a recomendação",Negative,cortaram a recomendaç,Negative,True,,,https://www.infomoney.com.br/mercados/petrobras-os-analistas-que-ja-reduziram-a-recomendacao-para-as-acoes-em-meio-a-intervencao/
2021-02-22,MoneyTimes,safra,Safra reduz preço-alvo da Petrobras e aposta que impacto negativo nas ações deve durar,"O Banco Safra reduziu o preço-alvo da Petrobras (PETR4) nesta segunda-feira (22) apostando que o impacto negativo que estamos vendos nos papéis deve durar por mais um tempo, já que foi confirmada a intenção do governo de alterar a gestão da companhia. Agora, a estimativa para as ações ficou em R$ 29,50, o que corresponde […]",Negative,reduz preço-alvo,Negative,True,,,https://www.moneytimes.com.br/safra-reduz-preco-alvo-da-petrobras-e-aposta-que-impacto-negativo-nas-acoes-deve-durar/
2021-02-22,MoneyTimes,analistas,Ações da Petrobras desabam 17% em Nova York com analistas cortando recomendações,"As ações da Petrobras (PETR3; PETR4) desabavam quase 17% nas negociações pré-abertura na bolsa de Nova York nesta segunda-feira, após analistas cortarem recomendações para os papéis na sequência do anúncio pelo presidente Jair Bolsonaro da indicação de um general como novo presidente da companhia. Analistas de Credit Suisse, Scotiabank, Bank of America,  Bradesco (BBDC4) e XP estão entre […]",Negative,cortando recomendaç,Negative,True,,,https://www.moneytimes.com.br/acoes-da-petrobras-desabam-17-em-nova-york-com-analistas-cortando-recomendacoes/
2021-02-23,MoneyTimes,ubs,UBS insiste que tombo da Petrobras foi um baita exagero e dá 5 motivos para ter calma,"Depois de surpreender o mercado ontem (22), mantendo sua recomendação de compra para as ações da Petrobras (PETR3; PETR4), enquanto os papéis tombavam na B3 e analistas diziam para os investidores venderem os papéis, o UBS BB voltou à carga nesta terça-feira (23) com um novo relatório. Segundo a instituição, o mercado exagerou bastante no […]",Positive,recomendação de compra,Negative,False,,,https://www.moneytimes.com.br/ubs-insiste-tombo-da-petrobras-foi-um-baita-exagero-e-da-5-motivos-para-ter-calma/
2021-02-23,MoneyTimes,ubs,3 coisas que fariam o UBS BB retirar seu apoio às ações da Petrobras,"Em meio ao pânico generalizado do mercado com a intervenção do presidente Jair Bolsonaro na Petrobras (PETR3; PETR4), o UBS BB se destacou pela convicção com que manteve a recomendação de compra dos papéis ontem (22). Sua posição foi reafirmada em um novo relatório nesta terça-feira (23), no qual listou cinco motivos para ainda acreditar […]",Positive,recomendação de compra,Negative,False,,,https://www.moneytimes.com.br/3-coisas-que-fariam-o-ubs-bb-retirar-seu-apoio-as-acoes-da-petrobras/
2021-02-25,InfoMoney,analistas,"Impecável ou decepcionante? Entre divergências sobre números, futuro da Petrobras intriga mais os analistas do que balanço",A grande dúvida para a estatal segue a mesma para os analistas desde o final da semana passada: o que esperar da nova gestão com Castello Branco de saída?,Negative,decepcion,Negative,True,,,https://www.infomoney.com.br/mercados/impecavel-ou-decepcionante-entre-divergencias-sobre-numeros-futuro-da-petrobras-intriga-mais-os-analistas-do-que-balanco/
2021-03-12,InfoMoney,bradesco bbi,"Ação da PetroRio se destaca cada vez mais em meio à turbulência na Petrobras, mas ela tem espaço para novas altas?","Nesta semana, Bradesco BBI elevou recomendação para as ações PRIO3, enquanto BBA iniciou cobertura com recomendação equivalente à compra",Positive,elevou recomendaç,Positive,True,,,https://www.infomoney.com.br/mercados/acao-da-petrorio-se-destaca-cada-vez-mais-em-meio-a-turbulencia-na-petrobras-mas-ela-tem-espaco-para-novas-altas/
2021-03-23,InfoMoney,analistas,"Analistas dizem que Petrobras e Vale estão baratas, mas exposição política da petroleira torna investimento mais arriscado","Recomendação é ter maior exposição na Vale mesmo após a queda recente do minério, enquanto cenário é mais incerto para a petroleira estatal",Positive,estão barat,Negative,False,,,https://www.infomoney.com.br/mercados/analistas-dizem-que-petrobras-e-vale-estao-baratas-mas-exposicao-politica-da-petroleira-torna-investimento-mais-arriscado/
2021-05-17,InfoMoney,itaú bba,"Após Itaú BBA, Bradesco BBI eleva recomendação para Petrobras e diz que “hora de comprar ação é agora”","“Pelo valuation atual, vale a pena correr o risco, em nossa visão”, apontam os analistas do BBI, que elevaram o preço-alvo para a ação PN para R$ 35",Positive,eleva recomendaç,Neutral,False,,,https://www.infomoney.com.br/mercados/apos-itau-bba-bradesco-bbi-eleva-recomendacao-para-petrobras-e-diz-que-hora-de-comprar-acao-e-agora/
2021-05-28,MoneyTimes,jpmorgan,Ibovespa fecha em alta e renova máximas históricas com Petrobras,"O Ibovespa (IBOV) fechou em alta de 1% nesta sexta-feira, renovando máximas históricas, apoiado principalmente no salto de Petrobras (PETR4) após o JPMorgan elevar recomendação para ‘overweight’, enquanto Sabesp (SBSP3) capitaneou as perdas em meio a comentários do governo de São Paulo sobre a companhia. Índice de referência do mercado acionário brasileiro, o Ibovespa subiu […]",Positive,elevar recomendaç,Positive,True,,,https://www.moneytimes.com.br/ibovespa-fecha-em-alta-e-renova-maximas-historicas-com-petrobras/
2021-07-01,InfoMoney,analistas,"Sem ter mais a Petrobras como sócia, o que esperar da BR Distribuidora? Analistas destacam perspectivas positivas para a empresa","Expectativa do mercado está em torno dos ganhos com a nova gestão da BR Distribuidora, que está sob o comando de Wilson Ferreira Júnior",Positive,positivas para,Positive,True,,,https://www.infomoney.com.br/mercados/sem-ter-mais-a-petrobras-como-socia-o-que-esperar-da-br-distribuidora-analistas-destacam-perspectivas-positivas-para-a-empresa/
2021-07-01,Exame,credit suisse,"BR Distribuidora pode subir 46% após saída da Petrobras, diz Credit Suisse","Visando menor interferência estatal, analistas elevam preço-alvo em relatório desta semana",Positive,elevam preço-alvo,Negative,False,,,https://exame.com/invest/mercados/br-distribuidora-pode-subir-46-apos-saida-da-petrobras-diz-credit-suisse/
2021-08-04,InfoMoney,analistas,"Petrobras reverte prejuízo e registra lucro líquido de R$ 42,855 bilhões no 2º trimestre de 2021, bem acima do esperado","A média das projeções dos analistas apontava para um lucro líquido de R$ 30,67 bilhões, segundo dados compilados pela Refinitiv.",Positive,acima do esperado,Negative,False,,,https://www.infomoney.com.br/mercados/petrobras-reverte-prejuizo-e-registra-lucro-liquido-de-r-42855-bilhoes-no-2o-trimestre-de-2021/
2021-08-05,MoneyTimes,credit suisse,Petrobras: Credit Suisse indica a compra das ações e eleva projeção em 27%,"O Credit Suisse elevou a recomendação da ADR da Petrobras (PETR4) de “neutra” para “outperform” e subiu o preço-alvo para 14 dólares, de 11 dólares, após a estatal divulgar na véspera um lucro de 42,86 bilhões de reais no segundo trimestre, superando com folga estimativas. “Reconhecemos que existem riscos significativos no horizonte. No entanto, acreditamos que […]",Positive,eleva projeç,Neutral,False,,,https://www.moneytimes.com.br/petrobras-credit-suisse-indica-a-compra-das-acoes-e-eleva-projecao-em-27/
2021-09-29,Exame,analistas,"Petrobras, PetroRio ou 3R: qual a melhor ação com a alta do petróleo?","Analistas avaliam se as ações da Petrobras, em meio a persistentes riscos de interferência política, estão atrativas em relação às petroleiras privadas",Positive,estão atrativ,Neutral,False,,,https://exame.com/invest/mercados/petrobras-petrorio-ou-3r-qual-acao-para-aproveitar-a-alta-do-petroleo/
2021-10-14,InfoMoney,credit suisse,"Mudança de cálculo do ICMS para combustíveis é positiva para a Petrobras, aponta Credit Suisse",Analistas apontam que medida endereça debate politico sobre os preços dos combustíveis sem interferir nos preços de mercado da refinaria,Positive,é positiv,Neutral,False,,,https://www.infomoney.com.br/mercados/mudanca-de-calculo-do-icms-para-combustiveis-e-positiva-para-a-petrobras-aponta-credit-suisse/
2021-11-26,MoneyTimes,santander,Petrobras: Santander pede calma com “oba-oba” após novo plano estratégico,"O Santander está na contramão dos mercados quando o assunto é indicar a compra dos papéis da Petrobras (PETR3; PETR4), apesar de ter elevado o preço-alvo de R$ 28 para R$ 34 para o fim de 2022. Os analistas Rodrigo Almeida e Christian Audi preferiram continuar com a recomendação de manutenção para os papéis. A […]",Positive,elevado o preço-alvo,Negative,False,,,https://www.moneytimes.com.br/petrobras-santander-pede-calma-com-oba-oba-apos-novo-plano-estrategico/
2021-12-03,MoneyTimes,corretora,Dividendos da Petrobras valem o risco de se investir na estatal?,"A Nu invest, divisão do Nubank, emitiu um relatório recomendando a compra das ações da Petrobras (PETR4), após o recente anúncio de dividendos, apesar de a estatal ser alvo de pressões políticas por conta de sua política de preços. Segundo a corretora, a companhia é negociada com um “valuation atrativo” (2,3 vezes EV/Ebitda projetado para […]",Positive,recomendando a compra,Neutral,False,,,https://www.moneytimes.com.br/dividendos-da-petrobras-valem-o-risco-de-se-investir-em-uma-estatal/
2021-12-15,MoneyTimes,analistas,PetroRio ou Petrobras: qual ação investir em 2022?,"O setor de petróleo e gás continuará aquecido em 2022, com boa geração de caixa e pagamento de dividendos, avaliam analistas. Na Bolsa, as opções preferidas entre os investidores são Petrobras (PETR3; PETR4) e PetroRio (PRIO3), levando em conta o volume de negociação. Mas qual ação escolher?  O Santander tem a resposta: a PetroRio. Os analistas […]",Positive,preferida,Neutral,False,,,https://www.moneytimes.com.br/petrorio-ou-petrobras-qual-acao-investir-em-2022/
2021-12-27,MoneyTimes,xp,Ação da Petrobras está “barata demais para ignorar”; XP retoma cobertura com indicação de compra,"A XP Investimentos retomou a cobertura das ações da Petrobras com recomendação de compra e preços-alvo de R$ 45,30 para os papéis negociados no Brasil (PETR3;PETR4) e US$ 16,40 às ADRs (American Depositary Receipts, recibos de ações de uma empresa estrangeira negociada nos Estados Unidos – PBR). Na opinião da corretora, a empresa está “barata […]",Positive,recomendação de compra,Negative,False,,,https://www.moneytimes.com.br/acao-da-petrobras-esta-barata-demais-para-ignorar-xp-retoma-cobertura-com-indicacao-de-compra/
2021-12-27,InfoMoney,xp,Petrobras (PETR3;PETR4): XP retoma cobertura com recomendação de compra,"Para os analistas da corretora, valuation atrativo, dividendos e qualidade de ativos se sobrepõem a riscos políticos",Positive,recomendação de compra,Neutral,False,,,https://www.infomoney.com.br/mercados/petrobras-xp-retoma-cobertura-com-recomendacao-de-compra/
2022-01-06,InfoMoney,analistas,"Credit vê petróleo mais caro, eleva preço-alvo de PetroRio (PRIO3) e projeta dividendo de US$ 18 bi para Petrobras (PETR4) em 2022","Para analistas do banco, petróleo brent chegará ao fim do ano a US$ 75 o barril, ante projeção anterior de US$ 69 o barril",Positive,eleva preço-alvo,Negative,False,,,https://www.infomoney.com.br/mercados/credit-ve-petroleo-mais-alto-eleva-preco-alvo-de-petrorio-prio3-e-projeta-dividendo-de-us-18-bi-para-petrobras-petr4-em-2022/
2022-01-31,InfoMoney,credit suisse,"Petrobras (PETR3;PETR4): dados de reservas provadas foram muito positivos para estatal, diz Credit Suisse","Após seis anos de reservas estagnadas ou em declínio, a Petrobras reverteu a tendência com a maior adição de reservas em um ano em sua história",Positive,foram muito positiv,Positive,True,,,https://www.infomoney.com.br/mercados/petrobras-petr3petr4-dados-de-reservas-provadas-foram-muito-positivos-para-estatal-diz-credit-suisse/
2022-02-18,MoneyTimes,bank of america,"Petrobras (PETR4): Bank of America eleva preço-alvo, à espera de 4T21 forte","O Bank of America (BofA) elevou o preço-alvo das ADRs (American Depositary Receipts, recibo de ação de uma empresa estrangeira negociada nos Estados Unidos) da companhia de US$ 14,50 (R$ 40,50 por ação) para US$ 16,50 (R$ 46,50 por ação), acompanhando estimativas maiores. Analistas ajustaram as projeções para o quarto trimestre de 2021 após a […]",Positive,eleva preço-alvo,Positive,True,,,https://www.moneytimes.com.br/petrobras-petr4-bank-of-america-eleva-preco-alvo-a-espera-de-4t21-forte/
2022-03-14,MoneyTimes,btg,"Petrobras (PETR4), Azul (AZUL4) e outras ações para vender nesta segunda, segundo Ágora e BTG","Se o BTG Pactual (BPAC11) e a Ágora Investimentos indicaram a Weg (WEGE3) como parte das ações recomendadas para esta segunda-feira (14), outras ações bastante conhecidas figuram a lista de venda para o investidor. Entre elas estão Petrobras (PETR4) e Azul (AZUL4). Ambas corretoras divulgaram suas recomendações de venda para o dia. As ações sugeridas […]",Negative,recomendações de venda,Neutral,False,,,https://www.moneytimes.com.br/petrobras-petr4-azul-azul4e-outras-acoes-para-vender-nesta-segunda-segundo-agora-e-btg/
2022-03-30,InfoMoney,xp,"Petrobras (PETR3;PETR4): por valuation e dividendo, XP eleva preço-alvo para ações e mantém recomendação de compra","Analistas revisaram estimativas, mas destacaram no título do documento:  “quanto mais as coisas mudam, mais elas permanecem as mesmas”",Positive,eleva preço-alvo,Positive,True,,,https://www.infomoney.com.br/mercados/petrobras-petr3petr4-por-valuation-e-dividendo-xp-eleva-preco-alvo-para-acoes-e-mantem-recomendacao-de-compra/
2022-04-22,MoneyTimes,xp,"Itaúsa (ITSA4), Petrobras (PETR4) e mais ações que XP sugere comprar na próxima semana","A atualização da carteira Top Picks semanal da XP Investimentos marca a entrada de três novos ativos na composição. A corretora excluiu Bradesco (BBDC4), Marfrig (MRFG3) e Bradespar (BRAP4) do portfólio. No lugar, foram incluídas as ações de Itaúsa (ITSA4), Copel (CPLE6) e Raia Drogasil (RADL3), cada uma com peso igual de 20%. Ficaram apenas […]",Positive,top pick,Neutral,False,,,https://www.moneytimes.com.br/itausa-itsa4-petrobras-petr4-e-mais-acoes-que-xp-sugere-comprar-na-proxima-semana/
2022-05-04,MoneyTimes,itaú bba,"Petrobras (PETR4) e os destaques em óleo e gás no 1T22, segundo Itaú BBA","O Itaú BBA calcula resultados fortes para as empresas de óleo e gás no 1T22, com destaque positivo para a Petrobras (PETR4), a 3R Petroleum (RRRP3) e a PetroRecôncavo (RECV3). Segundo o banco, o setor se beneficia dos preços do petróleo mais altos no trimestre e margens ainda fortes no segmento de distribuição de combustíveis. […]",Positive,positivo para,Neutral,False,,,https://www.moneytimes.com.br/petrobras-petr4-e-os-destaques-em-oleo-e-gas-no-1t22-segundo-itau-bba/
2022-05-06,MoneyTimes,analistas,Petrobras (PETR4) sobe após balanço e mais dividendos; veja o que dizem analistas,"As ações Petrobras (PETR3;PETR4) sobem 2,5% nesta sexta-feira (6), a R$ 32,82, após a estatal divulgar lucro acima do esperado no primeiro trimestre, de R$ 43,3 bilhões, e com o CEO da companhia José Mauro Coelho, reiterando a política de preços de combustíveis.  Analistas seguem apontando o fator político como limitador para os preços dos […]",Positive,acima do esperado,Neutral,False,,,https://www.moneytimes.com.br/petrobras-petr4-sobe-dividendos-balanco-analise/
2022-05-19,MoneyTimes,analista,"Petrobras (PETR4): Com ou sem Brasília, dividendos serão grandes demais para ignorar, diz analista","A Ativa Investimentos elevou o preço-alvo da Petrobras (PETR3;PETR4) de R$ 38 para R$ 41 e manteve a recomendação de compra. De acordo com a corretora, mesmo com a efervescência política, os dividendos serão grandes demais para ignorar. “Sua capacidade de geração de caixa atual, a posição de dívida equalizada e a intenção em remunerar […]",Positive,elevou o preço-alvo,Negative,False,,,https://www.moneytimes.com.br/petrobras-petr4-com-ou-sem-brasilia-dividendos-serao-grande-demais-para-ignorar-diz-analista/
2022-06-22,MoneyTimes,bradesco bbi,"Petrobras (PETR4) vira recomendação cada vez mais arriscada, diz Bradesco BBI","O Bradesco BBI diz reconhecer que a recomendação de compra das ações da Petrobras (PETR4) tem se tornado cada vez mais arriscada. O comentário é feito em um momento em que a classe política avança sobre a política de preços da empresa, diante da forte alta dos combustíveis.  O BBI diz estar surpreso ao ver que […]",Positive,recomendação de compra,Neutral,False,,,https://www.moneytimes.com.br/petrobras-petr4-vira-recomendacao-cada-vez-mais-arriscada-diz-bradesco-bbi/
2022-06-24,InfoMoney,bradesco bbi,Petrobras (PETR4) sai da lista do Bradesco BBI de top picks do setor de petróleo e gás; Vibra (VBBR3) é a preferida,Fatores para mudança são perspectivas de  potencial estagflação nos Estados Unidos e volatilidade com eleição presidencial no Brasil,Positive,top pick,Neutral,False,,,https://www.infomoney.com.br/mercados/acao-petrobras-petr4-sai-lista-top-picks-bradesco-bbi-petroleo-gas-vibra-vbbr3-preferida/
2022-06-27,InfoMoney,itaú bba,Petrobras (PETR4): Itaú BBA reitera recomendação de compra e diz que pressão sobre política de preços já “alcançou pico”,Companhia deve surfar ainda preço do petróleo mais altos mas recuo da commodity no médio prazo deve diminuir a pressão política,Positive,recomendação de compra,Negative,False,,,https://www.infomoney.com.br/mercados/petrobras-petr4-itau-bba-reitera-recomendacao-de-compra-e-diz-que-pressao-sobre-politica-de-precos-ja-alcancou-pico/
2022-06-27,MoneyTimes,itaú bba,Itaú BBA retoma cobertura de Petrobras com ‘outperform’,"Analistas do Itaú BBA retomaram a cobertura de Petrobras (PETR3; PETR4) com recomendação ‘outperform’, com preço-alvo de 43 reais para as ações preferenciais e de 16,4 dólares para os ADRs. “Apesar de sermos sensíveis ao fluxo intenso de notícias sobre a empresa, ajustamos nossas lentes para focar nos fortes fundamentos da empresa e no sólido desempenho operacional”, […]",Positive,outperform,Positive,True,,,https://www.moneytimes.com.br/itau-bba-retoma-cobertura-de-petrobras-com-outperform/
2022-06-27,Exame,itaú bba,Itaú BBA (ITUB4) recomenda compra de ações da Petrobras (PETR3),"Segundo o Itaú BBA, uma possível mudança na política de preços da Petrobras pode ter impactos consideráveis sobre o balanço da empresa, mas é um cenário improvável",Positive,recomenda compra,Neutral,False,,,https://exame.com/invest/mercados/itau-bba-itub4-outperform-petrobras-petr3/
2022-07-21,MoneyTimes,santander,"Day Trade: Petrobras (PETR4), Santander (SANB11) e outras ações para vender hoje, segundo Ágora, BTG e PagBank","A Ágora Investimentos, o BTG Pactual e o PagBank indicaram a compra das ações da Magazine Luíza (MGLU3) para esta quinta-feira (21). No entanto, outras ações bastante conhecidas figuram a lista de vendas para o investidor, entre elas estão os ativos da Santander (SANB11) e Petrobras (PETR4). As corretoras divulgaram suas recomendações de venda para o […]",Negative,recomendações de venda,Neutral,False,,,https://www.moneytimes.com.br/day-trade-petrobras-petr4-santander-sanb11-e-outras-acoes-para-vender-hoje-segundo-agora-btg-e-pagbank/
2022-07-22,Exame,analistas,Petrobras (PETR3/PETR4): Credit aumenta preço-alvo e vê upside de 57% após prévia,Analistas avaliam que alta no Ebitda e no pagamento de dividendos torna empresa atrativa apesar dos riscos,Positive,aumenta preço-alvo,Positive,True,,,https://exame.com/invest/mercados/petrobras-petr3-petr4-credit-aumenta-preco-alvo-e-ve-upside-de-56-apos-previa/
2022-07-28,MoneyTimes,corretora,"Petrobras (PETR4): Dividendos pegam mercado de surpresa e ações disparam; “Muito acima da expectativa”, diz Ativa","A Petrobras (PETR4) pegou o mercado de surpresa ao anunciar dividendos de R$ 87 bilhões, segundo cálculos da Ativa, ou R$ 6,73 por ação. De acordo com a corretora, o valor ficou consideravelmente superior às expectativas. Após o anúncio, a ação da Petrobras ganhou fôlego e saltou mais de 3%, empurrando o Ibovespa. A ação […]",Positive,acima da expectativa,Negative,False,,,https://www.moneytimes.com.br/petrobras-petr4-dividendos-pegam-mercado-de-surpresa-e-acoes-disparam-muito-acima-da-expectativa-diz-ativa/
2022-07-29,MoneyTimes,s&p,Ibovespa (IBOV) avança com disparada de Petrobras (PETR4) e NY em alta,"O Ibovespa (IBOV) operava em alta nesta sexta-feira (29), repercutindo o resultado da Petrobras (PETR4), que divulgou números acima do esperado e anunciou o pagamento de dividendos. Por volta das 14h05, o principal índice da Bolsa brasileira subia 0,76%, aos 103,3 mil pontos. Em Wall Street, Nasdaq tinha alta de 1,31% e o S&P 500 avançava […]",Positive,acima do esperado,Positive,True,,,https://www.moneytimes.com.br/ibovespa-ibov-avanca-com-disparada-de-petrobras-petr4-e-ny-em-alta/
2022-08-02,InfoMoney,goldman sachs,Goldman Sachs prevê que Petrobras (PETR4) pagará mais US$ 13 bilhões em dividendos no 3º trimestre de 2022,"Banco elevou preço-alvo para ações da companhia, mantendo recomendação de compra para PETR3 e PETR4",Positive,elevou preço-alvo,Negative,False,,,https://www.infomoney.com.br/mercados/goldman-sachs-preve-que-petrobras-petr4-pagara-mais-us-13-bilhoes-em-dividendos-no-3o-trimestre-de-2022/
2022-08-02,MoneyTimes,btg,"Day Trade: Petrobras (PETR4), Banco do Brasil (BBAS3) e outras ações para vender hoje, segundo Ágora, BTG e PagBank","A Ágora Investimentos, o BTG Pactual e o PagBank indicaram a compra das ações da Taurus (TASA4) para esta terça-feira (2). No entanto, outras ações bastante conhecidas figuram a lista de vendas para o investidor, entre elas estão os ativos do Petrobras (PETR4) e Banco do Brasil (BBAS3). As corretoras divulgaram suas recomendações de venda para […]",Negative,recomendações de venda,Neutral,False,,,https://www.moneytimes.com.br/day-trade-petrobras-petr4-banco-do-brasil-bbas3-e-outras-acoes-para-vender-hoje-segundo-agora-btg-e-pagbank/
2022-08-08,MoneyTimes,analista,"Petrobras (PETR4) salta 5% e bate em R$ 36, maior cotação em 12 anos; “ação ainda está barata”, diz analista","As ações da Petrobras (PETR4) fecharam em alta de 5,05% na sessão desta segunda-feira, em dia marcado pela alta do petróleo. Com isso, as ações preferenciais terminaram o dia negociadas a R$ 36,63. Trata-se da maior cotação desde meados de junho 2010, quando a empresa alcançou os R$ 37. De acordo com Pedro Galdi, da […]",Positive,está barat,Positive,True,,,https://www.moneytimes.com.br/petrobras-petr4-salta-5-e-bate-em-r-36-maior-cotacao-em-12-anos-acao-ainda-esta-barata-diz-analista/
2022-08-29,MoneyTimes,analista,O céu é o limite? Petrobras (PETR4) sobe e analista crava: ainda está barata,"A Petrobras (PETR4) bateu em sua máxima histórica na sessão desta segunda-feira (29) embalada pela alta do petróleo. Apesar disso, as ações perderam fôlego no final da tarde: as preferenciais fecharam em alta de 2,5%, a R$ 34,48, enquanto as ordinárias (PETR3) subiram 2,16%, a R$ 38,27. Segundo Pedro Gaudi, da Mirae Asset, além da […]",Positive,está barat,Negative,False,,,https://www.moneytimes.com.br/o-ceu-e-o-limite-petrobras-petr4-dispara-renova-maximas-historicas-e-analista-crava-ainda-esta-barata/
